hospital_id,hospital_name,hospital_city_direct,cghs_city,state,hosp_type_code,nabh_status,nabl_status,pincode,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
1799,BHAGWAN MAHAVIR MANIPAL HOSPITAL,RANCHI,Ranchi,Odisha,1,N,N,834009,32117,3688.71,3362.28,326.43,8.85
1936,SREE GOKULAM MEDICAL COLLEGE HOSPITAL,THIRUVANANTHAPURAM,Trivandrum,Kerala,1,N,N,695607,128512,8385.68,8059.36,326.31,3.89
1427,GRANT MEDICAL FOUNDATION - WANOWARIE,PUNE,Pune,Maharashtra,1,Y,Y,411040,18020,4484.70,4158.63,326.07,7.27
3141,AYUSHMAN BHAV HEALTH INSTITUTE,PANIPAT,Ambala,Punjab,0,N,N,132108,4872,4163.15,3837.49,325.66,7.82
1870,MANIPAL HOSPITAL PVT LTD,PATIALA,Ambala,Punjab,1,N,Y,147001,56472,5489.76,5164.22,325.54,5.93
2061,AADHAR HEALTH INSTITUTE (A UNIT OF VLCOM HEALTHCAR,HISAR,Hisar,Haryana,1,N,N,125005,60840,7823.04,7498.23,324.81,4.15
3813,SURYA HOSPITAL (A UNIT OF VEDANSH MEDICARE PVT LTD,GREATER NOIDA,Delhi 2,Delhi,,N,N,201310,1414,2622.16,2298.10,324.06,12.36
3262,CKS HOSPITALS (A UNIT OF CKS MEDICARE PVT LTD),JAIPUR,Jaipur,Rajasthan,0,N,N,302013,15495,5004.71,4680.73,323.98,6.47
1354,M S RAMAIAH MEMORIAL HOSPITAL,BANGALORE,Bangalore,Karnataka,1,Y,Y,560054,56981,5364.72,5046.28,318.44,5.94
528,AMANDEEP HOSPITAL,AMRITSAR,Jalandhar,Punjab,1,N,N,143001,5982,4429.76,4111.48,318.29,7.19
5268,Sangli,Sangli,Pune,Maharashtra,N,N,N,416416,2224,1114.09,797.43,316.66,28.42
3559,MEDICARE SUPERSPECIALITY HOSPITAL & TRAUMA CENTRE,JHAJJAR,Hisar,Haryana,,N,N,124103,3130,2740.17,2423.71,316.46,11.55
1606,YASHODA HOSPITAL AND CANCER INSTITUTE(A UNIT OF,GHAZIABAD,Delhi 2,Delhi,1,N,N,201012,3121,2133.78,1818.79,314.99,14.76
929,INDIAN SPINAL INJURIES CENTRE - Vasant Kunj,NEW DELHI,Delhi 2,Delhi,1,Y,Y,110070,13269,2204.42,1890.45,313.97,14.24
5119,Kochi,Kochi,Kochi,Kerala,M,N,N,,42913,1955.42,1641.55,313.87,16.05
1782,ACTION CANCER HOSPITAL,NEW DELHI,Delhi,Delhi,1,N,Y,110063,18206,6789.53,6477.01,312.52,4.60
878,GUPTA HOSPITAL & RESEARCH CENTRE - KATHUA,KATHUA,Jammu,Jammu and Kashmir,1,N,N,184101,12494,5924.19,5613.58,310.61,5.24
3706,GRAPHIC ERA INSTITUTE OF MEDICAL SCIENCES,DEHRADUN,Dehradun,Uttarakhand,1,N,N,248007,18906,2328.06,2017.54,310.52,13.34
3261,VEDANTA HOSPITAL,REWARI,Jaipur,Rajasthan,0,N,N,123401,2844,1513.51,1204.49,309.03,20.42
1335,JAIN MEDICAL CENTER & LASER EYE HOSPITAL,MEERUT,Bareilly,Uttar Pradesh,2,N,N,250001,7543,4420.66,4112.29,308.36,6.98
260,Ashwini Sahakari Rugnalaya Ani Sanshodhan Kendra Niymit - Solapur,Solapur,Pune,Maharashtra,1,N,N,413003,20322,3475.01,3166.81,308.20,8.87
88,Alchemist Hospitals Ltd,Panchkula,Chandimandir,Chandigarh,1,N,N,134112,47441,10601.14,10297.51,303.63,2.86
3352,RANA HOSPITAL,KHALRA,Jalandhar,Punjab,,N,N,143305,901,2108.92,1805.31,303.61,14.40
5070,Quilon (Kollam),Quilon (Kollam),Trivandrum,Kerala,N,N,N,NA,53536,2240.28,1939.28,301.00,13.44
1802,MGM NEW BOMBAY HOSPITAL - VASHI,NAVI MUMBAI,Mumbai,Maharashtra,1,N,Y,400703,17751,1645.72,1346.40,299.32,18.19
3265,RAJIV HOSPITAL,JHUNJHUNU,Jaipur,Rajasthan,,N,N,333026,3154,1500.47,1201.52,298.95,19.92
2455,DEV HOSPITAL - AMRITSAR,AMRITSAR,Jalandhar,Punjab,1,N,N,143001,2785,4021.73,3724.24,297.49,7.40
2661,VIVEKANANDA HOSPITAL PVT LTD,DURGAPUR,Kolkata,West Bengal,1,N,N,713206,3946,2147.56,1850.64,296.92,13.83
2151,SHALBY LIMITED - JABALPUR,JABALPUR,Jabalpur,Madhya Pradesh,1,N,N,482002,20718,3750.67,3455.41,295.26,7.87
546,MAHATMA GANDHI HOSPITAL,JAIPUR,Jaipur,Rajasthan,1,N,N,302022,10018,4838.17,4543.44,294.74,6.09
168,Muthoot Health Care Private Limited - Kozhencherry,Kozhenchery,Trivandrum,Kerala,1,N,N,689641,115071,9466.08,9171.54,294.54,3.11
5186,Tiruchirappalli,Tiruchirappalli,Coimbatore,Tamil Nadu,N,N,N,620020,1074,671.52,377.16,294.36,43.83
2568,AURANGABAD INSTITUTE OF MEDICAL SCIENCES PVT LTD,AURANGABAD,Pune,Maharashtra,1,N,N,431001,4742,1599.39,1305.32,294.07,18.39
5021,Golconda,Golconda,Secunderabad,Andhra Pradesh,M,N,N,NA,4566,652.29,359.69,292.60,44.86
5155,Krishnagiri (RC Chennai),Krishnagiri,Chennai,Tamil Nadu,N,N,N,NA,2628,706.09,414.86,291.23,41.25
5133,Guntur,GUNTUR,Secunderabad,Andhra Pradesh,N,N,N,NA,35734,1576.33,1285.27,291.06,18.46
5093,Bengdubi,Bengdubi,Kolkata,West Bengal,M,N,N,NA,4224,893.12,603.28,289.83,32.45
3500,RAMADEVI MEDICAL CENTRE PRIVATE LIMITED,KANPUR,Lucknow,Uttar Pradesh,,N,N,208007,1466,1286.08,996.28,289.80,22.53
1065,PRAYAG HOSPITAL & RESEARCH CENTRE- Noida,NOIDA,Delhi 2,Delhi,1,N,N,201302,1433,1311.41,1021.83,289.58,22.08
1992,GURU NANAK DEV SUPER-SPECIALTY HOSPITAL,TARN TARAN,Jalandhar,Punjab,1,N,N,143401,11729,4109.88,3820.37,289.51,7.04
3544,KRUSH DIVINE HOSPITAL (A UNIT OF RAMRAJ WELLNESS P,GAUTAM BUDDHA NAGAR,Delhi 2,Delhi,,N,N,203207,1885,2450.80,2161.52,289.28,11.80
3062,NARAYANA SUPERSPECIALITY HOSPITAL,GURUGRAM,Delhi,Delhi,1,N,N,122002,44706,6682.27,6393.20,289.07,4.33
227,ASIAN NOBLE HOSPITAL PVT LTD - AHMEDNAGAR,AHMEDNAGAR,Pune,Maharashtra,1,N,N,414003,7331,3118.23,2830.48,287.75,9.23
1148,PIOS MEDILINKS PVT LTD,JAYSINGPUR,Pune,Maharashtra,1,N,N,416101,15145,1888.97,1602.30,286.66,15.18
2975,SPES HOSPITAL,BHIWANI,Hisar,Haryana,1,N,N,127021,1215,1125.38,839.13,286.24,25.44
1942,SANTOSH HOSPITAL - MEERUT,MEERUT,Bareilly,Uttar Pradesh,1,N,N,250004,2961,2213.24,1927.65,285.59,12.90
5122,Kozhikode,Kozhikode,Kochi,Kerala,N,N,N,673005,34828,1827.36,1543.04,284.31,15.56
2630,SARVODAYA HOSPITAL & INSTITUTE OF MEDICAL SCIENCE,BAGHPAT,Bareilly,Uttar Pradesh,1,N,N,250601,7416,3144.96,2861.01,283.94,9.03
5068,Nagarcoil,Nagarcoil,Trivandrum,Kerala,N,N,N,NA,10372,996.21,712.38,283.83,28.49
5152,Avadi,Avadi,Chennai,Tamil Nadu,M,N,N,NA,1410,624.92,343.48,281.45,45.04
2752,AYUSHMAN HOSPITAL AND HEALTH SERVICES,DELHI,Delhi,Delhi,1,N,N,110075,23432,4175.76,3895.31,280.45,6.72
5074,Trivandrum (Medical College),Trivandrum,Trivandrum,Kerala,N,N,N,695011,16098,1300.93,1020.61,280.32,21.55
212,Holy Cross Hospital - Kottiyam,Kollam,Trivandrum,Kerala,1,N,N,691571,59132,2771.98,2492.40,279.57,10.09
3549,SUNFLAG HOSPITAL DADRI PVT. LTD.,CHARKHI DADRI,Hisar,Haryana,,N,N,127306,2782,2604.15,2324.62,279.53,10.73
