hospital_name_with_id,hosp_type_code,nabh_status,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
Salem [5192],N,N,9128,705.88,480.04,225.84,31.99
Nerul [5276],N,N,6704,821.59,596.13,225.45,27.44
NORTH BENGAL NEURO RESEARCH CENTRE PVT LTD [337],1,N,10180,3694.83,3471.05,223.78,6.06
RANVIR HOSPITAL [2650],1,N,1574,1247.69,1023.93,223.76,17.93
MAHALAKSHMI MULTISPECIALITY HOSPITAL (UNIT OF MEDI [2813],1,N,14626,2135.30,1911.60,223.70,10.48
ASTER CMI HOSPITAL (A UNIT OF ASTER DM HEALTH CARE [2993],1,N,75961,7557.79,7334.31,223.48,2.96
Chandni Hospital (P) Ltd- Kanpur [403],1,N,3020,912.16,690.40,221.77,24.31
R J SUPER SPECIALITY HOSPITAL [3337],,N,1979,1946.09,1724.36,221.73,11.39
PAYAL HOSPITAL AND DIAGNOSTIC CENTRE [2828],1,N,4320,980.02,758.84,221.18,22.57
VASAL HOSPITAL PVT LTD. [1527],1,N,2122,3574.92,3355.21,219.71,6.15
MOGA MEDICITY SUPER SPECIALITY HOSPITAL [3710],1,N,6193,2394.04,2174.85,219.18,9.16
HARYANA MULTISPECIALITY HOSPITAL [1129],1,N,2225,2597.56,2378.55,219.01,8.43
NEELAM HEALTHCARE PVT LTD [2765],1,Y,10114,2846.23,2627.91,218.32,7.67
SRI MANAKULA VINAYAGAR MEDICAL COLLEGE AND HOSPITA [684],1,N,18155,2136.18,1918.04,218.14,10.21
ASIAN INSTITUTE OF MEDICAL SCIENCES - FARIDABAD [273],1,Y,9872,2662.02,2444.59,217.43,8.17
RAJAGIRI HOSPITAL [2389],1,N,13530,1408.16,1190.96,217.20,15.42
SANJIVANI MULTISPECIALITY HOSPITAL [683],1,N,33274,3036.79,2820.16,216.63,7.13
GANDAKI MEDICAL COLLEGE TRACHING HOSPITAL & RESEARCH [2727],1,N,20422,2558.14,2341.80,216.34,8.46
RESCUE HOSPITAL INDIA PVT LTD [2548],1,N,669,1167.96,952.46,215.50,18.45
V K NEUROCARE & TRAUMA RESEARCH HOSPITAL [2076],1,N,4144,1685.55,1472.31,213.24,12.65
ST. JOHNS MEDICAL COLLEGE AND HOSPITAL [3226],0,N,2051,872.24,660.87,211.37,24.23
Dindigul [5286],N,N,3013,482.76,271.54,211.22,43.75
VALENTIS CANCER CARE HOSPITAL PVT LTD [1539],1,N,5543,3417.25,3206.10,211.15,6.18
Amravati [5078],N,N,1427,607.89,396.80,211.09,34.73
PRIMUS SUPER SPECIALITY HOSPITAL-Chanakyapuri [1049],1,Y,19454,1798.02,1588.21,209.80,11.67
MAX SMART SUPER SPECIALITY HOSPITAL - SAKET [1489],1,Y,36989,8330.55,8121.32,209.23,2.51
Shifa Hospitals [199],1,N,23411,2405.91,2196.74,209.17,8.69
NAVJEEVAN MULTISPECIALITY HOSPITAL - HISAR [2070],1,N,3896,2334.29,2125.13,209.16,8.96
Rewari [5327],N,N,74535,2777.60,2568.59,209.01,7.52
GC GUPTA HOSPITAL [2879],1,N,3632,3153.45,2947.97,205.48,6.52
Thanjavur [5156],N,N,1957,477.52,272.53,204.98,42.93
LOKPRIYA HOSPITAL - MEERUT [1319],1,N,32798,3375.19,3170.47,204.72,6.07
Gorakhpur [5374],M,N,7579,764.45,560.42,204.03,26.69
Dr Lal PathLabs Pvt Ltd - Pune [147],5,N,52436,1342.20,1138.25,203.95,15.20
Ghaziabad (Hindon)  [5292],M,N,47201,1716.85,1513.87,202.98,11.82
APOLLO SPECIALITY HOSPITALS - TRICHY [2424],1,N,6132,801.44,598.78,202.66,25.29
OHRI HOSPITAL [2204],1,N,2478,3087.70,2885.34,202.35,6.55
SaltLake (Kolkata) [5100],M,N,7001,583.72,382.06,201.66,34.55
ANAND HOSPITAL - MEERUT [1315],1,N,15963,2793.18,2591.74,201.44,7.21
PONDICHERRY INSTITUTE OF MEDICAL SCIENCES [610],1,N,8115,1099.34,898.43,200.91,18.28
