hospital_name_with_id,hosp_type_code,nabh_status,total_claims,total_claimed_lakh,total_approved_lakh,total_deducted_lakh,deduction_pct
KRYSTAL HOSPITAL [3908],,N,582,520.13,470.59,49.54,9.52
Aizwal [5351],N,N,534,178.60,129.08,49.52,27.73
Fatehgarh [5004],M,N,4515,282.99,233.71,49.28,17.41
SANTKRUPA MULTISPECIALITY HOSPITAL [1534],1,N,2485,476.90,427.71,49.19,10.31
HCG PANDA CANCER HOSPITAL [3579],,N,794,798.36,749.30,49.05,6.14
PRANAV MULTISPECIALITY HOSPITAL [3802],,N,3499,1055.54,1006.51,49.03,4.64
SHREE BALAJI HOSPITAL - KANGRA [792],1,N,3824,363.33,314.31,49.02,13.49
Thangam Hospital of PMRC [311],1,N,22563,1712.37,1663.52,48.85,2.85
Surat [5438],N,N,1073,183.16,134.34,48.82,26.65
ASHA INSTITUTE OF MEDICAL SCIENCE & RESEARCH CENTR [796],1,N,1672,403.65,355.11,48.53,12.02
DELHI HEART & LUNG INSTITUTE-PANCHKUIAN RD N DELHI [967],1,Y,1751,740.65,692.38,48.28,6.52
Barnala [5001],N,N,6534,370.51,322.31,48.20,13.01
RAINBOW HOSPITAL(UNIT OF ANS HEALTHCARE PVT LTD) [3170],0,N,11004,1476.26,1428.23,48.04,3.25
MALHOTRA HOSPITAL & TRAUMA CENTRE [3454],,N,2199,620.83,572.79,48.04,7.74
Khammam [5024],N,N,316,104.19,56.45,47.74,45.82
AMALTAS INSTITUTE OF MEDICAL SCIENCES [3003],1,N,3479,620.04,572.33,47.71,7.69
OMEGA HOSPITALS (A UNIT OF GUNTUR OF INSTITUTE OF [3641],,N,545,330.01,282.37,47.64,14.44
Behrampore (RC Kolkata) [5094],N,N,798,148.58,101.07,47.51,31.98
DRISHTI CENTRE FOR ADVANCED EYE CARE [2523],2,N,38278,1569.93,1522.62,47.32,3.01
SEVENHILLS HEALTHCARE PVT LTD [1349],1,N,3657,290.82,243.66,47.16,16.22
Bhagalpur [5339],N,N,822,136.78,89.67,47.11,34.44
Chhapra [5258],N,N,2343,184.63,137.54,47.09,25.50
DR A S THAKUR MEMORIAL MULTISPECIALITY HOSPITAL P [3587],,N,14310,651.99,604.93,47.06,7.22
APEX HOSPITAL AND MATERNITY HOME [3244],0,N,2665,599.53,552.48,47.05,7.85
FORTIS HOSPITALS LIMITED - BENGALURU [1361],1,N,5200,549.29,502.47,46.82,8.52
AMANDEEP MEDICITY (UNIT:AMANDEEP HEALTHCARE P LTD) [3783],,N,1491,526.62,479.89,46.73,8.87
Hisar [5322],M,N,14793,629.38,582.71,46.67,7.42
Shillong [5345],M,N,184,148.06,101.43,46.64,31.50
KRISHNA KUMAR ORTHOPARDIC HOSPITAL & INSTITUTE OF ORTHOPAEDIC (P) LTD [159],1,N,4652,421.19,374.72,46.47,11.03
PANWAR HOSPITAL [3245],0,N,382,241.55,195.14,46.41,19.21
GAYATRI HOSPITAL (A UNIT OF AAS MEDICARE PRIVATE LIMITED) [4062],,N,123,206.73,160.40,46.33,22.41
MEDICOVER HOSPITALS -VENKOJIPALEM (A UNIT OF SAHRUDAYA HEALTHCARE PVT LTD) [3828],,N,2418,504.14,457.85,46.29,9.18
NARAYANA HRUDAYALAYA SURGICAL HOSPITAL PVT LTD [2541],1,N,8882,883.19,837.01,46.18,5.23
DELHI HOSPITAL [3256],0,N,3774,983.81,937.65,46.16,4.69
Jamnagar [5328],M,N,892,188.97,143.21,45.76,24.22
Agartala [5284],M,N,1174,167.24,121.54,45.70,27.33
PVS HOSPITAL PVT LTD [315],1,N,19566,677.36,631.68,45.68,6.74
Sambalpur (RC Bhubneshwar) [5488],N,N,313,116.47,70.89,45.58,39.13
RAJEEV HOSPITAL [2451],1,N,839,340.88,295.43,45.45,13.33
KALYANI HOSPITAL PVT LTD - GURGAON [132],1,Y,8645,797.87,752.47,45.40,5.69
AASTHA MULTISPEICIALITY HOSPITAL [3177],0,N,10235,909.61,864.35,45.27,4.98
Balasore (RC Bhubneshwar) [5490],M,N,11502,383.30,338.03,45.27,11.81
"PARMAR HOSPITAL, ROPAR [81]",1,N,16833,1692.25,1647.22,45.03,2.66
Laddhad Hospital - Buldana [347],1,N,3326,424.21,379.20,45.02,10.61
DHANVANTRI LIFE CARE PVT LTD- JAIPUR [326],1,N,681,354.62,309.65,44.97,12.68
NARMADA TRAUMA CENTRE PVT LTD - BHOPAL [1575],1,N,527,273.96,229.00,44.96,16.41
CONTINENTAL HOSPITALS PRIVATE LIMITED [1783],1,N,1696,268.59,223.72,44.87,16.70
Sindhudurg [5080],N,N,2412,219.31,174.45,44.87,20.46
HAYAT HOSPITAL [1439],1,N,3330,660.48,615.62,44.86,6.79
Haldwani (RC Bareilly) [5459],M,N,1179,181.76,136.93,44.83,24.67
MEDICARE HOSPITAL (A UNIT OF ACEA ONE HEALTHCARE PVT LTD) [4293],,N,234,190.21,145.41,44.80,23.55
Bankura [5434],N,N,364,108.67,63.92,44.75,41.18
CHHATRAPATI SHIVAJI SUBHARTI HOSPITAL [2941],1,N,3646,330.59,286.17,44.42,13.44
KOTA HEART INSTITUTE & RESEARCH CENTRE [1653],1,N,6127,686.08,641.72,44.37,6.47
NAYATI MULTI SUPERSPECIALITY HOSPITAL [2340],1,N,679,282.42,238.07,44.35,15.70
SHUBHAM HOSPITAL-A UNIT OF SHUBHAM MEDICARE P LTD  [1279],1,N,17133,1225.12,1180.83,44.29,3.62
WE CARE MULTISPECIALITY HOSPITAL [4075],,N,845,421.93,377.65,44.28,10.49
MAXWELL SUPER MULTISPECIALITY HOSPITAL PVT. LTD. [3563],,N,1001,989.24,944.97,44.27,4.48
Patil Hospital [259],1,N,1450,428.22,384.22,44.00,10.28
PRIME MULTISPECIALITY HOSPITAL [2749],1,N,1350,777.16,733.24,43.92,5.65
APOLLO REACH HOSPITALS - KARAIKUDI [1329],1,N,4537,574.85,531.12,43.73,7.61
AASTHA HOSPITAL - HISAR [2179],1,N,3134,491.62,447.92,43.70,8.89
NOBLE MULTISPECIALITY HOSPITAL [1572],1,N,2169,314.03,270.36,43.68,13.91
Jhajjar [5300],N,N,5242,487.31,443.77,43.55,8.94
ACE HEART & VASCULAR INSTITUTE (A UNIT OF PRIME CARDIAC CARE PVT LTD) [218],1,N,5984,1191.53,1148.09,43.45,3.65
Deoria [5370],N,N,595,138.79,95.38,43.42,31.28
AAYUSH NRI LEPL HEALTHCARE PRIVATE LIMITED [1451],1,N,7321,726.46,683.08,43.38,5.97
Hempur (RC Bareilly) [5478],N,N,3908,232.29,189.02,43.27,18.63
MAX SUPER SPECIALITY HOSPITAL (UNIT OF CROSSLAY R [3165],1,N,3882,2001.93,1958.70,43.22,2.16
Sikar [5116],N,N,4183,252.91,209.87,43.04,17.02
KMCT MEDICAL COLLEGE HOSPITAL [712],1,N,5663,264.56,221.53,43.03,16.26
METRO HOSPITAL & HEART INSTITUTE - NOIDA [53],1,Y,323,351.97,308.97,43.00,12.22
SHRI SHELLAPHA HOSPITAL [1558],1,N,1808,422.96,380.01,42.95,10.15
ONCO-LIFE CANCER CENTRE PVT LTD [2640],1,N,4021,611.61,568.77,42.83,7.00
PAWANA HOSPITAL [2584],1,N,1283,442.71,399.93,42.78,9.66
SURYA KIRAN HOSPITAL PVT LTD [3134],1,N,583,388.83,346.06,42.77,11.00
KUMAR HOSPITAL (A UNIT OF KUMAR NURSING HOME AND MATERNITY CENTRE PVT LTD) [3971],,N,160,274.59,232.02,42.57,15.50
Bhuj Type 'D' [5381],N,N,716,146.69,104.22,42.48,28.96
CHANDRA LAXMI HOSPITAL - Vaishali [942],1,N,1252,261.84,219.37,42.47,16.22
S V J C T S BKL WALAWALKAR HOSPITAL DIAG & RES CEN [3113],1,N,1718,280.06,237.77,42.29,15.10
Muzaffarpur [5260],N,N,3094,219.69,177.45,42.24,19.23
VidyaDhar Nagar [5118],N,N,1301,144.93,102.71,42.22,29.13
KIMS SUPER SPECIALITY HOSPITAL PVT LTD [3353],,N,972,385.70,343.54,42.16,10.93
RAJESHWAR HOSPITAL [2587],1,N,3290,383.04,341.01,42.02,10.97
Sultanpur [5366],N,N,569,129.72,87.81,41.92,32.31
GARG HOSPITAL - MOGA [2617],1,N,2262,1183.22,1141.33,41.90,3.54
Samba [5236],M,N,3877,223.71,181.82,41.89,18.72
BHUPAL HOSPITAL [3874],,N,1369,884.58,842.69,41.89,4.74
CURIE ABDUR RAZZAQUE ANSARI CANCER INSTITUTE [1969],1,N,1891,1426.08,1384.20,41.88,2.94
MALABAR MEDICAL COLLEGE HOSPITAL & RESEARCH CENTRE [3901],3,N,6753,349.62,307.78,41.84,11.97
DOOARS & DARJEELING MEDICAL ASSOCIATIONS HOSPITAL [341],1,N,4264,1028.44,986.68,41.76,4.06
MEHAR HOSPITAL (A UNIT OF MEHAR MEDISERVE LLP) [3651],,N,1657,699.34,657.81,41.52,5.94
MAHARAJA AGRASEN HOSPITAL - DWARKA [3070],1,N,1749,503.12,461.64,41.48,8.25
NATIONAL HEART INSTITUTE- East of Kailash [1055],1,Y,2254,466.15,424.77,41.38,8.88
ADVANTA SUPERSPECIALIY HOSPITAL PVT LTD [4306],,N,341,228.93,187.80,41.13,17.97
KALINGA INSTITUTE OF MEDICAL SCIENCES (PRADYUMNA [1965],1,Y,1216,320.41,279.34,41.07,12.82
Gangtok [5098],M,N,952,161.42,120.71,40.72,25.22
TIRUPATI EYE CENTRE - NOIDA [191],2,N,1424,387.55,346.99,40.56,10.47
Ranni [5071],N,N,18703,497.51,456.96,40.55,8.15
ASHIRWAD MULTISPECIALITY HOSPITAL [360],1,N,5373,631.71,591.20,40.51,6.41
Saharanpur [5396],M,N,1514,142.40,101.95,40.45,28.40
Motihari [5257],N,N,727,141.56,101.14,40.42,28.56
J.N.Shory Multispeciality Hospital [190],1,N,419,472.56,432.24,40.33,8.53
Palampur (RC Yol) [5507],M,N,13013,489.92,449.77,40.15,8.20
Kapurthala [5148],M,N,1592,226.86,186.74,40.12,17.69
RAVINDRA HOSPITAL - JHUNJHUNU [1114],1,N,3160,387.76,347.75,40.01,10.32
Patiala (Ambala) [5445],M,N,12575,520.95,481.15,39.80,7.64
HARILAL JECHAND DOSHI HOSPITAL [1399],1,N,10353,478.27,438.53,39.75,8.31
Ranjit Hospital [499],1,N,1107,533.80,494.16,39.64,7.43
RAJAN HOSPITAL & HEART CENTRE - KOTKAPURA [2173],1,N,4026,556.98,517.58,39.41,7.07
IMAX MULTISPECIALITY HOSPITAL LLP [2900],1,N,1126,211.95,172.59,39.36,18.57
SHANTI GOPAL HOSPITAL - INDIRAPURAM GHAZIABAD [1770],1,N,5524,492.14,453.00,39.14,7.95
RAINBOW MULTISPECIALITY HOSPITAL & TRAUMA CENTRE [4307],,N,936,258.05,218.97,39.08,15.14
SARASWATHY HOSPITAL [1921],1,N,3332,410.32,371.41,38.91,9.48
ASHUTOSH HOSPITAL AND TRAUMA CENTRE PVT LTD [2906],1,N,1917,584.43,545.62,38.81,6.64
SHRI RAM HOSPITAL [4319],,N,75,134.81,96.01,38.80,28.78
MGM HOSPITAL & RESEARCH CENTRE [3736],1,N,5231,216.14,177.36,38.78,17.94
CITYHEART SUPER SPECIALITY HOSPITAL [4163],,N,2281,328.70,289.97,38.73,11.78
MITTAL INSTITUTE OF MEDICAL SCIENCE [2218],1,N,213,253.28,214.70,38.58,15.23
SILVER STREAK MULTISPECIALITY HOSPITAL [3803],1,N,2548,689.12,650.99,38.13,5.53
SHARDA HOSPITAL A UNIT OF SHARDA EDUCATIONAL TRUST [1636],1,N,3931,446.96,408.85,38.12,8.53
MOTHER HOSPITAL PVT LTD [444],1,N,2030,277.11,239.00,38.11,13.75
Panipat [5205],N,N,3053,259.01,220.90,38.11,14.71
LIFE KARE MULTI SUPER SPECIALITY HOSPITAL [2221],1,N,161,276.70,238.67,38.03,13.74
Kurukshetra [5202],N,N,2348,232.48,194.48,38.00,16.35
DR. SURJIT SINGH SUPER SPECIALITY HOSPITAL [2000],1,N,1909,327.04,289.06,37.98,11.61
SR KALLA MEMORIAL GASTRO & GENERAL HOSPITAL [1661],1,Y,2716,614.09,576.40,37.69,6.14
MANAV HOSPITAL & LASER EYE CENTRE - Ghaziabad [1178],2,N,4283,277.74,240.17,37.57,13.53
SIKAR HOSPITAL & RESEARCH INSTITUTE- SIKAR [441],1,N,6759,769.70,732.33,37.37,4.86
Faizabad [5376],M,N,1305,131.39,94.04,37.35,28.43
Dr Jeyasekharan Hospital And Nursing Home [134],1,N,13458,763.22,725.87,37.35,4.89
JEEVAN JYOTI HOSPITAL (UNIT OF JYOTI HOSPITAL PVT [1019],1,N,1409,541.54,504.25,37.28,6.88
DR. O P CHAUDHARY HOSPITAL & RESEARCH CENTRE [1448],1,N,796,221.70,184.45,37.25,16.80
Shalley Nursing Home [350],1,N,3800,2165.13,2127.91,37.22,1.72
TSC HOSPITAL PVT LTD  [1646],1,N,9273,762.19,725.08,37.12,4.87
YADUVANSHI HOSPITAL [3395],,N,3296,574.96,538.29,36.67,6.38
Faridkot [5431],M,N,5529,276.28,239.70,36.59,13.24
SYNERGY SUPERSPECIALITY HOSPITAL (A UNIT OF [2757],1,N,919,219.74,183.18,36.56,16.64
Gaya [5263],M,N,1811,155.13,118.63,36.50,23.53
M N HOSPITAL & RESEARCH CENTRE [997],1,N,5311,422.36,385.91,36.45,8.63
TIRUPATI EYE CENTRE - Noida [1067],2,N,2516,280.21,244.25,35.96,12.83
JPS MULTISPECIALITY HOSPITAL [3713],1,N,386,524.07,488.14,35.93,6.86
ANKUR HOSPITAL [2931],1,N,1139,720.22,684.34,35.89,4.98
SAI SANJEEVINI HOSPITAL [2169],1,N,717,245.54,209.71,35.83,14.59
KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED - NELLORE [1751],1,N,10261,587.40,551.62,35.78,6.09
SHRI SAI MULTISPECIALITY HOSPITAL & TRAUMA CENTER [3367],,N,1079,423.71,387.96,35.76,8.44
SUDHA HOSPITAL AND MEDICAL RESEARCH CENTRE PVT LTD [780],1,N,7069,636.74,601.09,35.64,5.60
RAEBARELI [5112],N,N,333,107.44,71.92,35.52,33.06
REGENCY HOSPITAL LIMITED - LUCKNOW [3841],,N,689,205.89,170.55,35.33,17.16
Talwara (RC Jalandhar) [5482],N,N,1254,174.05,138.74,35.31,20.29
ARNEJA INSTITUTE OF CARDIOLOGY PVT LTD [811],1,N,3285,514.98,479.99,34.99,6.80
AKASHDEEP HOSPITAL [2453],1,N,197,325.80,290.88,34.92,10.72
Bhind [5084],N,N,106,67.47,32.68,34.79,51.56
KANWAR HOSPITAL - PATHANKOT [1290],1,N,801,280.40,245.92,34.48,12.30
MANGALAM MEDICAL & SURGICAL CENTRE [1937],1,N,1852,1041.12,1006.72,34.40,3.30
PANCHAM HOSPITAL PVT LTD [1957],1,N,3116,684.11,649.84,34.27,5.01
BIRATNAGAR ASPATAL PVT LTD [3576],,N,11207,911.17,876.95,34.23,3.76
VIAN MULTISPECIALITY HOSPITAL [3780],,N,215,382.13,347.94,34.19,8.95
METROPOLIS HEALTHCARE LIMITED [2549],1,N,5563,230.39,196.22,34.16,14.83
Apollo Specialty Hospital Pvt Ltd - Kanpur [317],1,N,341,185.46,151.39,34.07,18.37
Paalana Institute of Medical Sciences [359],1,N,6011,608.64,574.65,33.99,5.58
SHREYA HOSPITAL (A UNIT OF SHREYA MULTISPECIALITY HOSPITAL PVT LTD) [2413],1,N,3534,250.70,216.72,33.98,13.55
JAYPEE HOSPITAL [1891],1,Y,1306,450.89,416.92,33.97,7.53
KMC HOSPITAL ATTAVARA - MANGALORE [688],1,N,8472,618.51,584.58,33.93,5.49
SARAN HOSPITAL & INSTITUTE OF PARAMEDICAL SCIENCES [1350],1,N,1462,547.59,513.72,33.87,6.18
UNITED MEDICITY HOSPITAL(RUN BY SHIV RAM DAS GULAT [3438],,N,1262,271.13,237.33,33.80,12.47
BHARDWAJ HOSPITAL - NOIDA [40],1,N,497,459.13,425.38,33.75,7.35
OMEGA HOSPITALS (A UNIT OF VIZAG SPECIALITY HOSPITAL) [3390],,N,628,510.45,476.71,33.74,6.61
Sarakaghat (Chm) [5015],N,N,1625,146.27,112.53,33.73,23.06
Ajmer [5189],M,N,1176,154.41,120.69,33.71,21.83
PRAGMA HOSPITAL [787],1,N,6491,442.15,408.56,33.59,7.60
ARS HOLY HEART ADVANCED CARDIAC CARE & RESEARCH CENTRE [3079],1,N,6409,991.05,957.47,33.58,3.39
INDIANA HOSPITAL AND HEART INSTITUTE LTD - MANGALORE [1472],1,N,3066,357.01,323.85,33.16,9.29
VIMHANS - NEW DELHI [2064],1,N,936,330.48,297.41,33.06,10.00
UMARANI MULTISPECIALITY HOSPITAL [4005],,N,4086,263.84,230.88,32.96,12.49
Alwar [5308],M,N,7306,377.00,344.17,32.83,8.71
Fatehpur (RC Lukcnow) [5466],N,N,4376,207.36,174.57,32.79,15.81
JANGRA MULTISPECIALITY HOSPITAL [3934],,N,575,328.37,295.91,32.46,9.88
MAHENDRA HOSPITAL [3458],,N,521,483.70,451.44,32.26,6.67
Mathura (RC Jaipur) [5497],M,N,7592,293.52,261.34,32.18,10.96
DASHMESH HEALTHCARE HOSPITAL [3749],,N,876,647.69,615.52,32.17,4.97
Fatehgarh Sahib (CHM) [5163],N,N,4718,240.40,208.22,32.17,13.38
SHARDA HOSPITAL [2816],1,N,1695,293.10,261.03,32.07,10.94
DR LAL PATH LABS PVT LTD - THANE [1400],5,N,15497,359.25,327.40,31.85,8.87
ORCHID MEDICAL CENTRE PVT LTD [1966],1,N,2487,297.02,265.20,31.82,10.71
ZENITH CRITICAL CARE HOSPITAL [4060],,N,538,99.97,68.25,31.72,31.73
METAS OF SEVENTH-DAY ADVENTIST HOSPITAL [2357],1,N,6363,456.31,424.68,31.64,6.93
Anantapur [5274],N,N,333,66.49,35.15,31.34,47.14
JEEVAN REKHA CRITICAL CARE & TRAUMA HOSPITAL [1832],1,N,1468,262.99,231.75,31.24,11.88
Raiwala [5223],N,N,1983,180.22,149.05,31.17,17.30
SADHNA HOSPITALS PVT LTD [3377],,N,1358,287.67,256.56,31.11,10.81
Hamirpur (RC Jalandhar) [5139],N,N,1753,191.86,160.76,31.10,16.21
EYE-Q VISION PVT LTD - GURGAON [2073],2,N,14895,869.13,838.14,31.00,3.57
BALAJI HEART HOSPITAL & DIAGNOSTICS CENTRE PVT LTD [1371],5,N,236,227.02,196.06,30.96,13.64
Chirawa [5115],N,N,2100,187.29,156.48,30.81,16.45
NC JINDAL INSTITUTE OF MEDICAL CARE & RESEARH [3328],,N,13204,706.54,675.77,30.77,4.36
HCG CURIE CITY CANCER CENTRE [661],1,N,791,461.57,430.99,30.59,6.63
SAMFORD SUPERSPECIALITY HOSPITAL (SAMFORD HOSPITAL PVT LTD) [3943],,N,870,271.40,240.83,30.57,11.26
BEJAN SINGH  EYE HOSPITAL (P) LTD [135],2,N,7816,353.91,323.33,30.57,8.64
Palwal [5042],N,N,31153,1020.30,989.78,30.53,2.99
NOVA MEDICITY HOSPITAL (UNIT OF EXCEL FOREVER MEDICARE PVT LTD) [4051],,N,219,387.89,357.55,30.34,7.82
Tezpur [5346],N,N,304,84.15,53.85,30.30,36.01
Wardha [5278],N,N,275,82.28,52.02,30.26,36.77
VEDANTA CENTRE FOR OPHTHALMIC SCIENCES [3026],2,N,7335,483.98,453.77,30.20,6.24
Howrah [5171],N,N,641,83.31,53.25,30.06,36.08
Firozabad [5391],N,N,542,83.12,53.12,30.00,36.09
NEELKANTH HOSPITAL [2341],1,N,172,296.86,266.92,29.94,10.09
RANDHAWA HOSPITAL [3572],,N,333,316.41,286.62,29.79,9.42
Bhandari Hospital & Research Centre - Jaipur [312],1,N,1591,313.08,283.32,29.76,9.51
MGM HOSPITAL AND RESEARCH CENTRE [2903],1,N,1338,577.31,547.60,29.71,5.15
PRIMUS SUPER SPECIALITY HOSPITAL - CHANAKYAPURI [68],1,Y,6756,455.65,426.01,29.65,6.51
SANJIVANI HOSPITAL [1830],1,N,7206,426.10,396.48,29.62,6.95
NARAINA HOSPITAL & RESEARCH CENTRE [2094],1,N,214,159.00,129.52,29.47,18.54
EYE SCIENCES  - GREATER KAILASH NEW DELHI [1009],2,N,327,96.13,66.68,29.45,30.64
SIBIA HEALTHCARE PVT LTD [2111],1,N,4954,1469.01,1439.60,29.41,2.00
ARTEMIS HEALTH INSTITUTE - GURGAON [1017],1,Y,1530,417.15,387.81,29.34,7.03
Bhuwana [5132],N,N,1114,208.28,178.95,29.33,14.08
DR.PUNJABRAO DESHMUKH MEMORIAL MEDICAL COLLEGE HOS [3554],,N,2998,189.47,160.21,29.26,15.44
K G HOSPITAL - A UNIT OF K GOVINDASWAMY NAIDU MEDICAL TRUST [1477],1,N,6398,538.39,509.17,29.22,5.43
"VEDANTA MEDICAL RESEARCH FOUNDATION, BALCO MEDICAL [2805]",1,N,1782,539.82,510.62,29.20,5.41
DELHI HEART & LUNG INSTITUTE - NEW DELHI [127],1,Y,1589,767.08,737.89,29.19,3.81
SHIV SURGICAL NURSING HOME PVT LTD [1944],1,N,1299,747.19,718.05,29.14,3.90
IQ CITY MEDICAL COLLEGE AND HOSPITAL [2041],1,N,2936,361.70,332.72,28.98,8.01
YADAV DENTAL CLINIC [2915],3,N,3730,149.49,120.51,28.97,19.38
Kosli [RC Jaipur] [5483],N,N,4076,296.03,267.07,28.96,9.78
GBH AMERICAN HOSPITAL - A UNIT OF AIHML [611],1,Y,3245,347.55,318.69,28.86,8.30
Jairam Hospital & Research Centre Pvt Ltd [228],1,N,8248,506.22,477.42,28.80,5.69
Bikaner [5315],M,N,960,111.12,82.42,28.70,25.82
Mahad [5194],N,N,143,67.33,38.68,28.65,42.55
DR. OM PARKASH SATYAM NETRALAYA [483],2,N,12456,1513.21,1484.57,28.64,1.89
Kotdwara [5219],M,N,16357,342.04,313.41,28.63,8.37
PLUS MEDICARE HOSPITALS PVT LTD (PARAS HEALTH) [4023],,N,3108,530.19,501.80,28.39,5.36
MOUNT ZION MEDICAL COLLEGE HOSPITAL [2400],1,N,6381,431.89,403.54,28.35,6.56
DHARAMSHILA NARAYANA SUPER SPECIALITY HOSPITAL [102],1,Y,2855,879.42,851.17,28.25,3.21
Chiplun  (RC Mumbai) [5195],N,N,158,68.36,40.15,28.22,41.27
Bulandshahr [5395],N,N,6026,305.61,277.43,28.18,9.22
"MEDICA CANCER HOSPITAL AUO NBC PVT LTD, SILIGURI [357]",1,N,4151,1838.23,1810.06,28.17,1.53
SREE RAMADEVI MULTI SUPER SPECIALITY HOSPITAL [2129],1,N,1123,565.00,536.92,28.08,4.97
DR ADARSH HEART AND SUPERSPECIALITY HOSPITAL [3864],,N,305,404.33,376.30,28.03,6.93
VEDANTA HOSPITAL AND RESEARCH CENTRE [3652],,N,142,108.32,80.38,27.94,25.79
Shimoga [5255],N,N,1185,79.46,51.56,27.90,35.11
PRASHANT MEMORIAL CHARITABLE HOSPITAL [3109],1,N,18042,902.62,874.77,27.86,3.09
B D Bari [5237],N,N,8066,273.85,246.06,27.79,10.15
SAI HOSPITAL [2942],1,N,8476,507.19,479.44,27.75,5.47
Nawanshahr (RC Jalandhar) [5137],N,N,3664,145.27,117.52,27.75,19.10
SEVENHILLS HEALTHCARE PRIVATE LIMITED [3621],,N,2369,346.02,318.31,27.70,8.01
PARAS HEC HOSPITAL RANCHI (A UNIT OF PARAS HEALTH CARE (RANCHI) PVT LTD) [3941],,N,1154,337.21,309.57,27.64,8.20
RATAN JYOTI NETRALAYA OPTHALMIC INSTITUTE AND [2806],2,N,9391,400.66,373.25,27.41,6.84
VINOD MEMORIAL HOSPITAL [3128],0,N,573,190.85,163.47,27.38,14.34
KRUPAMAYI HOSPITALS (A UNIT OF KRUPAMAYI HEALTH [2901],1,N,398,276.16,248.79,27.37,9.91
Janglot [5227],M,N,5752,265.42,238.11,27.30,10.29
Mainpuri [5390],N,N,822,121.71,94.56,27.15,22.31
MARBLE CITY HOSPITAL & RESEARCH CENTRE - JABALPUR [704],1,N,370,212.49,185.35,27.13,12.77
HOLY CROSS HOSPITAL - NAGERCOIL [1674],1,N,8167,488.41,461.30,27.11,5.55
NARAYANA HRUDAYALAYA PVT LTD - BANGALORE [1250],1,N,168,154.78,127.79,27.00,17.44
UNNAO [5113],N,N,1060,116.85,89.87,26.98,23.09
GETWELL HOSPITAL AND RESEARCH CENTRE [3069],1,N,1185,235.36,208.44,26.91,11.44
REVATHI MEDICAL CENTRE TIRUPUR  PVT LTD [2408],1,N,1672,195.68,168.78,26.90,13.75
HOSPITAL FOR ADVANCED MEDICINE AND SURGERY LTD (HAMS) HOSPITAL [4049],,N,989,118.19,91.29,26.90,22.76
RAJARAJESWARI HOSPITALS (P) LTD - Dindigul [666],1,N,6454,680.94,654.07,26.87,3.95
BLDEU'S SHRI B M PATIL MEDICAL COLLEGE HOSPITAL & RESEARCH CENTRE - Vijapur [1463],1,N,6612,347.88,321.03,26.85,7.72
Bidar (RC Bangalore) [5441],N,N,149,59.99,33.17,26.82,44.71
Muzaffarnagar [5405],N,N,241,78.36,51.63,26.72,34.10
Almora (RC Bareilly) [5477],N,N,920,109.72,83.00,26.71,24.35
Buxar [5259],N,N,1782,129.59,102.96,26.63,20.55
GURU JAMBHESHWAR MULTISPECIALITY HOSPITAL [3347],,N,292,256.12,229.56,26.56,10.37
NEW RUBY HOSPITAL PVT LTD - JALANDHAR [1769],1,N,809,499.63,473.13,26.50,5.30
NETRADARSHAN SUPER SPECIALITY EYE HOSPITAL [2600],2,N,11558,476.69,450.23,26.46,5.55
PEOPLES HOSPITAL - BHOPAL [1624],1,N,2743,221.57,195.33,26.24,11.84
ESCORTS HEART INSTITUTE & RESEARCH CENTRE LTD - OKHLA [46],1,Y,6457,715.52,689.36,26.16,3.66
Tinsukia [5283],N,N,341,70.10,44.11,25.99,37.07
SPANDAN HEART INSTITUTE AND RESEARCH CENTER  P L [1358],1,N,1920,295.67,269.72,25.95,8.78
GLOBAL HOSPITAL (A UNIT OF SOOD HOSPITAL PVT LTD) [1996],1,N,1474,504.45,478.55,25.90,5.13
KAMBOJ MULTISPECIALITY HOSPITAL [1955],1,N,1191,418.69,392.86,25.82,6.17
Aligarh (RC Jaipur) [5499],N,N,3535,269.56,243.85,25.71,9.54
Behror [5325],N,N,13387,476.49,450.84,25.65,5.38
MEDEOR HOSPITALS LIMITED - MANESAR [1566],1,N,2116,290.22,264.60,25.62,8.83
Hajipur [5262],N,N,4312,236.00,210.40,25.60,10.85
Shahjahanpur (RC Bareilly) [5404],M,N,1427,98.50,72.91,25.59,25.98
UMEED MULTISPECIALITY HOSPITAL (UNIT: GGS COMMERCE [3738],,N,2153,420.05,394.50,25.55,6.08
JEEVANJOT HOSPITAL [385],1,N,169,216.26,190.78,25.48,11.78
UNIVERSAL COLLEGE OF MEDICAL SCIENCES TEACHING HOSPITAL [2737],1,N,13759,841.71,816.27,25.44,3.02
L N MEDICAL COLLEGE & J K HOSPITAL - BHOPAL [1577],1,N,1423,176.53,151.11,25.42,14.40
Rajouri [5232],M,N,1124,161.38,136.00,25.37,15.72
LIFECARE MULTISPECIALITY HOSPITAL [3473],,N,822,766.54,741.44,25.10,3.27
PEERLESS HOSPITEX HOSPITAL AND RESEARCH CENTER LIM [393],1,N,1725,604.46,579.36,25.10,4.15
APOLLO HOSPITALS - JUBLIEE HILLS [112],1,N,69,65.53,40.47,25.07,38.25
SHAKTI NEURO SCIENCE CENTRE [1540],1,N,1732,289.89,264.84,25.05,8.64
KANAG ENT SUPER SPECIALITY CENTRE [2068],1,N,5015,297.94,272.94,25.00,8.39
"BABY MEMORIAL HOSPITAL LTD, THODUPUZHA [2319]",1,N,7722,440.54,415.60,24.94,5.66
